ID,Name,Begin date,End date,Duration
42,Fabricación de la placa de circuito impreso: Montaje de componentes,2025-11-04,2025-11-10,7
43,Realización Firmware (uC/FPGA). Simulación y depuración: Control de elementos hardware: drivers,2025-11-11,2025-11-17,7
44,Realización Firmware (uC/FPGA). Simulación y depuración: Verificación,2025-11-11,2025-11-17,7
45,Realización Firmware (uC/FPGA). Simulación y depuración: Programa principal. Especificaciones,2025-11-11,2025-11-17,7
46,Realización Firmware (uC/FPGA). Simulación y depuración: Documentación firmware. Control de cambios,2025-11-11,2025-11-17,7
47,Realización Firmware (uC/FPGA). Simulación y depuración: Control de elementos hardware: drivers,2025-11-18,2025-11-24,7
48,Realización Firmware (uC/FPGA). Simulación y depuración: Verificación,2025-11-18,2025-11-24,7
49,Realización Firmware (uC/FPGA). Simulación y depuración: Programa principal. Especificaciones,2025-11-18,2025-11-24,7
50,Realización Firmware (uC/FPGA). Simulación y depuración: Documentación firmware. Control de cambios,2025-11-18,2025-11-24,7
51,Verificación hardware: Verificación inicial,2025-11-25,2025-12-01,7
52,Verificación hardware: Verificación firmware,2025-11-25,2025-12-01,7
53,Verificación hardware: Resolución de problemas,2025-11-25,2025-12-01,7
54,Verificación hardware: Análisis de prestaciones,2025-11-25,2025-12-01,7
55,Verificación hardware: Montaje final. Piezas mecánicas,2025-11-25,2025-12-01,7
56,Verificación hardware: Verificación inicial,2025-12-02,2025-12-08,7
57,Verificación hardware: Verificación firmware,2025-12-02,2025-12-08,7
58,Verificación hardware: Resolución de problemas,2025-12-02,2025-12-08,7
59,Verificación hardware: Análisis de prestaciones,2025-12-02,2025-12-08,7
60,Verificación hardware: Montaje final. Piezas mecánicas,2025-12-02,2025-12-08,7
61,,2025-12-09,2025-12-15,7
62,,2025-12-16,2025-12-22,7


ID,Name,Default role,Email,Phone,Notes
